小金井将棋研究会とは	小金井将棋研究会(平成２２年１月発足)は、プロ棋士の指導を受けさらに強くなることを目指して活動しています。もちろんアマ同士の対局もあります。毎月１回土日開催です。参加を希望される方は、「平野」までお問い合わせください。
参加費用	大会への参加、指導対局の有無により参加費用が変わります。[規定]をクリック。
参加資格	原則初段以上。初参加の方も歓迎いたします。初段、二段の方も歓迎いたします。強い方とさせるので棋力向上間違い無しです。
大会優勝賞金	優勝者へ商品券を贈呈します。目安は[規定]をクリック。高校生以下には同額の図書カードを贈ります。手合いと昇級規定	対局者の実力に合わせて駒落ちと時間による手合い割（ハンデ）を設定します。このため低段者でも優勝のチャンスがあります。詳細は[規定]をクリックしてください。初めて参加される方は色々とお伺いして段位を決めさせて頂きます。県代表経験者、有名学生、連盟道場五段、大きなローカル大会での優勝経験者（例えば過去１０年間で小平将棋大会で優勝経験者）、社会人リーグのレーティング高得点の方は五段で指して頂きます。昇級規定は[規定]をクリック。昇段された方には図書カード(５００円)を贈呈します。赤四段と赤五段の方は降段もあります
指導対局	午後３時３０分より行います。所用のある方はお申し出ください。優先して指導対局を指して頂きます。指導対局は原則一人１局ですが２局指したい方は「平野」までお申し出ください。
指導対局駒落ちの手合い	ご希望であれば初段以上の方は平手で挑戦してもかまいません。
田畑良太六段のご紹介	元奨励会三段。森 雞二九段の弟弟子。郷田真隆王将の兄弟子。現在は指導棋士として後進の育成にあたり、将棋連盟火曜教室、江古田将棋教室、新城子供将棋教室、JR回数券東日本大人の休日倶楽部「楽しい将棋講座」などで活躍しています。
小池裕喜五段のご紹介	小金井市立南小学校に１、２年生時在学。奨励会三段リーグに１１年間在籍し次点２回取得経験あり（現制度なら四段）。現在は指導棋士として後進の育成にあたり子供教室担当数No.１の実績、そしてわかりやすい自作テキストとやさしい人柄で多くの受講生から慕われています。
アマ手合い戦	時間が許す限り何局でも指せます（同じ人との対局が原則１対局です）。手合カードに勝敗を記載します。また年度毎通算成績一覧にも勝敗を記録します。時計ハンデ、駒落ちハンデにより対局します。
お問い合わせ	090-9208-7883 「平野」までご連絡ください。
